# SHSynth 球谐综合结果  系数=shkit_coeffs.sh  nmax=12  高斯平滑=0 km  物理量=unknown
# shsynth_meta {"source_coeffs": "shkit_coeffs.sh", "source_coeffs_path": "D:\\华为家庭存储\\1_Joe Science Data\\1_1_GRACE\\1_data\\2_Level-2\\SHKit\\shkit_coeffs.sh", "nmax": 12, "coeff_nmax": 12, "ntime": 1, "time_index": 0, "field_unit_in": "unknown", "field_unit_out": "unknown", "gaussian_km": 0.0, "gaussian_method": null, "units": null, "producer": "SHSynth"}
lat,lon,value
5.5,128.5,-0.5268388007
5.5,129,-0.5172763487
5.5,129.5,-0.507962614
5.5,130,-0.4988568635
5.5,130.5,-0.4899170477
5.5,131,-0.4811000383
5.5,131.5,-0.4723618751
5.5,132,-0.46365802
5.5,132.5,-0.4549436163
5.5,133,-0.4461737522
5.5,133.5,-0.4373037246
5.5,134,-0.4282893029
5.5,134.5,-0.4190869905
5.5,135,-0.4096542806
5.5,135.5,-0.3999499055
5.5,136,-0.3899340775
5.5,136.5,-0.3795687185
5.5,137,-0.3688176767
5.5,137.5,-0.3576469297
5.5,138,-0.3460247707
5.5,138.5,-0.3339219772
5.5,139,-0.3213119618
5.5,139.5,-0.308170901
5.5,140,-0.2944778449
6,60,-2.752317467
6,60.5,-2.753785327
6,61,-2.754951256
6,61.5,-2.755777694
6,62,-2.75622908
6,62.5,-2.756272059
6,63,-2.755875663
6,63.5,-2.755011463
6,64,-2.753653712
6,64.5,-2.751779443
6,65,-2.749368565
6,65.5,-2.746403912
6,66,-2.742871284
6,66.5,-2.738759455
6,67,-2.734060159
6,67.5,-2.728768054
6,68,-2.722880665
6,68.5,-2.7163983
6,69,-2.709323954
6,69.5,-2.70166319
6,70,-2.693424006
6,70.5,-2.684616685
6,71,-2.67525363
6,71.5,-2.665349195
6,72,-2.654919496
6,72.5,-2.643982221
6,73,-2.632556434
6,73.5,-2.620662368
6,74,-2.608321227
6,74.5,-2.595554975
6,75,-2.582386138
6,75.5,-2.568837596
6,76,-2.554932393
6,76.5,-2.54069354
6,77,-2.526143835
6,77.5,-2.511305687
6,78,-2.496200948
6,78.5,-2.48085076
6,79,-2.465275408
6,79.5,-2.449494191
6,80,-2.4335253
6,80.5,-2.417385715
6,81,-2.401091112
6,81.5,-2.384655781
6,82,-2.368092567
6,82.5,-2.351412818
6,83,-2.334626346
6,83.5,-2.317741408
6,84,-2.300764695
6,84.5,-2.283701336
6,85,-2.266554917
6,85.5,-2.249327505
6,86,-2.232019696
6,86.5,-2.214630659
6,87,-2.197158201
6,87.5,-2.179598838
6,88,-2.161947877
6,88.5,-2.144199501
6,89,-2.126346864
6,89.5,-2.108382197
6,90,-2.090296912
6,90.5,-2.072081717
6,91,-2.053726732
6,91.5,-2.035221606
6,92,-2.016555645
6,92.5,-1.997717933
6,93,-1.978697458
6,93.5,-1.959483241
6,94,-1.940064458
6,94.5,-1.920430567
6,95,-1.900571431
6,95.5,-1.880477438
6,96,-1.860139623
6,96.5,-1.839549779
6,97,-1.818700567
6,97.5,-1.797585629
6,98,-1.77619968
6,98.5,-1.754538612
6,99,-1.732599578
6,99.5,-1.710381077
6,100,-1.687883028
6,100.5,-1.665106843
6,101,-1.642055478
6,101.5,-1.618733495
6,102,-1.595147095
6,102.5,-1.57130416
6,103,-1.547214269
6,103.5,-1.522888717
6,104,-1.498340516
6,104.5,-1.473584388
6,105,-1.448636747
6,105.5,-1.423515669
6,106,-1.398240853
6,106.5,-1.372833567
6,107,-1.347316588
6,107.5,-1.321714124
6,108,-1.296051731
6,108.5,-1.270356211
6,109,-1.244655513
6,109.5,-1.218978605
6,110,-1.19335535
6,110.5,-1.167816366
6,111,-1.142392881
6,111.5,-1.11711657
6,112,-1.092019397
6,112.5,-1.06713344
6,113,-1.042490712
6,113.5,-1.018122983
6,114,-0.9940615859
6,114.5,-0.970337231
6,115,-0.9469798113
6,115.5,-0.9240182098
6,116,-0.9014801075
6,116.5,-0.8793917918
6,117,-0.8577779707
6,117.5,-0.836661589
6,118,-0.8160636532
6,118.5,-0.7960030621
6,119,-0.7764964477
6,119.5,-0.7575580257
6,120,-0.7391994581
6,120.5,-0.7214297292
6,121,-0.704255035
6,121.5,-0.6876786893
6,122,-0.6717010454
6,122.5,-0.6563194356
6,123,-0.6415281295
6,123.5,-0.627318311
6,124,-0.6136780753
6,124.5,-0.6005924458
6,125,-0.5880434119
6,125.5,-0.5760099871
6,126,-0.564468288
6,126.5,-0.5533916336
6,127,-0.5427506645
6,127.5,-0.5325134816
6,128,-0.522645804
6,128.5,-0.5131111443
6,129,-0.503871001
6,129.5,-0.4948850661
6,130,-0.4861114475
6,130.5,-0.4775069036
6,131,-0.4690270894
6,131.5,-0.4606268114
6,132,-0.4522602902
6,132.5,-0.4438814287
6,133,-0.4354440832
6,133.5,-0.4269023364
6,134,-0.4182107689
6,134.5,-0.4093247287
6,135,-0.4002005948
6,135.5,-0.3907960336
6,136,-0.3810702468
6,136.5,-0.3709842074
6,137,-0.3605008826
6,137.5,-0.3495854417
6,138,-0.3382054479
6,138.5,-0.3263310309
6,139,-0.3139350408
6,139.5,-0.3009931812
